"ticker","quarter_ended","total_income","net_profit_loss","earnings_per_share"
"RELIANCE","31-Mar-2025","1,41,72,400.00","11,21,700.00","8.29"
"TCS","31-Mar-2025","65,50,700.00","12,29,300.00","33.79"
"HDFCBANK","31-Mar-2025","1,20,26,876.00","18,83,488.00","24.62"
"BHARTIARTL","31-Mar-2025","48,36,200.00","12,47,580.00","19.02"
"ICICIBANK","31-Mar-2025","49,69,087.00","12,62,958.00","17.87"
"INFY","31-Mar-2025","42,11,500.00","7,03,800.00","16.98"
"SBIN","31-Mar-2025","1,43,87,606.00","18,64,259.00","20.89"
"LICI","31-Dec-2024","2,01,993.68","11,056.47","17.48"
"HINDUNILVR","31-Mar-2025","15,97,900.00","2,47,500.00","10.48"
"ITC","31-Dec-2024","19,37,686.00","5,63,825.00","4.34"
"LT","31-Mar-2025","43,52,552.00","-","-"
"HCLTECH","31-Mar-2025","30,69,500.00","4,30,900.00","15.90"
"BAJFINANCE","31-Mar-2025","18,46,874.00","4,54,557.00","72.35"
"SUNPHARMA","31-Dec-2024","6,26,020.00","1,18,105.00","4.90"
"NTPC","31-Dec-2024","42,30,297.00","4,71,142.00","4.86"
"MARUTI","31-Mar-2025","42,12,040.00","3,71,110.00","118.04"
"AXISBANK","31-Mar-2025","39,95,804.00","7,48,971.00","24.14"
"ONGC","31-Dec-2024","35,52,780.00","8,23,992.00","6.55"
"KOTAKBANK","31-Mar-2025","16,71,223.00","3,55,174.00","17.86"
"TATAMOTORS","31-Mar-2025","1,21,01,200.00","8,55,600.00","23.40"
"ADANIENT","31-Mar-2025","27,60,164.00","1,38,217.00","32.98"
"ULTRACEMCO","31-Mar-2025","21,25,013.00","2,68,214.00","91.18"
"POWERGRID","31-Dec-2024","11,60,922.00","3,89,409.00","4.19"
"HAL","31-Mar-2025","14,35,261.00","3,95,825.00","59.19"
"TITAN","31-Mar-2025","13,59,400.00","87,000.00","9.81"
"ADANIPORTS","31-Mar-2025","2,62,470.00","70,013.00","3.24"
"DMART","31-Mar-2025","14,50,152.00","61,971.00","9.52"
"COALINDIA","31-Mar-2025","41,76,176.00","9,59,253.00","15.58"
"WIPRO","31-Mar-2025","23,69,250.00","3,58,810.00","3.41"
"BAJAJ-AUTO","31-Dec-2024","13,14,155.00","2,10,873.00","75.50"
"ASIANPAINT","31-Mar-2025","8,45,876.00","70,083.00","7.22"
"BAJAJFINSV","31-Mar-2025","7,392.00","757.00","-"
"ADANIGREEN","31-Mar-2025","6,77,500.00","8,300.00","0.45"
"SIEMENS","31-Mar-2025","4,08,740.00","67,450.00","14.00"
"ADANIPOWER","31-Mar-2025","12,58,985.00","2,35,865.00","5.90"
"TRENT","31-Mar-2025","4,20,314.00","34,992.00","9.84"
"NESTLEIND","31-Mar-2025","5,51,232.00","87,346.00","9.06"
"JSWSTEEL","31-Dec-2024","32,25,100.00","1,28,600.00","5.27"
"HINDZINC","31-Mar-2025","9,27,100.00","2,97,600.00","7.05"
"IOC","31-Mar-2025","2,22,59,808.00","8,36,763.00","5.90"
"BEL","31-Mar-2025","9,31,389.00","2,10,478.00","2.87"
"IRFC","31-Mar-2025","6,72,380.00","1,68,187.00","1.29"
"JIOFIN","31-Mar-2025","51,836.00","31,611.00","0.50"
"DLF","31-Mar-2025","3,34,777.00","1,28,220.00","5.18"
"VBL","31-Mar-2025","4,11,232.70","67,806.00","2.01"
